icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a01f84,N107JG  ,United States,1749938461.0,1749938461,-74.8306,40.2631,91.44,False,53.5,46.95,-2.6,,106.68,3554,False,0
a7f434,N611TX  ,United States,1749938517.0,1749938518,-78.2969,34.4299,3726.18,False,208.93,115.68,-18.21,,3916.68,3766,False,0
a79122,JIA5552 ,United States,1749938518.0,1749938518,-74.2724,40.4111,10058.4,False,255.51,39.36,0.0,,10546.08,2432,False,0
ab3ee2,ASH6101 ,United States,1749938508.0,1749938508,-77.44,38.9271,,True,2.83,180.0,,,,,False,0
a576ed,N451MG  ,United States,1749938465.0,1749938466,-77.2774,38.7667,731.52,False,76.01,129.51,2.28,,754.38,,False,0
abd204,SWA374  ,United States,1749938518.0,1749938518,-80.3332,40.0855,4206.24,False,197.45,176.27,11.38,,4366.26,,False,0
ac03ee,ASH6039 ,United States,1749938518.0,1749938518,-78.551,38.8246,5364.48,False,187.67,258.14,4.23,,5631.18,6551,False,0
ac4c8a,SWA2097 ,United States,1749938518.0,1749938518,-80.6568,28.6681,11582.4,False,232.62,181.65,0.0,,12283.44,1641,False,0
a8bf73,AAL1224 ,United States,1749938518.0,1749938518,-75.8419,39.9152,4251.96,False,197.1,268.5,9.1,,4434.84,2627,False,0
a0757f,DAL1453 ,United States,1749938518.0,1749938518,-75.0966,39.6947,5532.12,False,198.33,33.36,-11.38,,5783.58,3206,False,0
a6f9fa,GJS4474 ,United States,1749938504.0,1749938504,-77.4386,38.9436,,True,0.0,177.19,,,,,False,0
ac16bb,SWA454  ,United States,1749938518.0,1749938518,-78.0524,39.506,6088.38,False,194.93,275.76,-0.33,,6370.32,5644,False,0
